X,GeneID,logFC_CK1a.ctrl,adjpval_CK1a.ctrl,logFC_CK1aL.ctrl,adjpval_CK1aL.ctrl,logFC_CK1e.ctrl,adjpval_CK1e.ctrl,logFC_CK1d.ctrl,adjpval_CK1d.ctrl,logFC_DVL3.ctrl,adjpval_DVL3.ctrl,logFC_CK1a.wnt3a,adjpval_CK1a.wnt3a,logFC_CK1aL.wnt3a,adjpval_CK1aL.wnt3a,logFC_CK1d.wnt3a,adjpval_CK1d.wnt3a,logFC_CK1e.wnt3a,adjpval_CK1e.wnt3a,logFC_DVL3.wnt3a,adjpval_DVL3.wnt3a
1339,PDS5A,-5.155369,9.45E-13,-5.012087,2.30E-13,-5.8649,1.48E-15,-5.560168,6.41E-15,-5.797183,1.73E-15,-0.08290203,0.9991471,0.5097325,0.9983285,0.1621959,0.9999914,0.5079937,0.940515,-0.2196172,0.9970706
1340,PDXDC1,-2.767436,0.000933537,-3.901467,3.26E-06,-3.566479,1.09E-05,-3.914369,2.13E-06,-5.031897,1.20E-08,-0.1486987,0.9991471,-0.1826586,0.9983285,0.3196777,0.9999914,0.2141358,0.9940709,1.108316,0.940927
1341,PDZD8,-0.5205384,0.4348195,-1.36015,0.02602181,-1.152556,0.05138748,-1.435544,0.01617779,-2.181617,0.000391253,0.5874867,0.9991471,0.03296313,0.9983285,0.6540162,0.9999914,0.214246,0.9940709,-0.2032166,0.9970706
1342,PDZRN3,4.176647,4.76E-07,3.300006,7.74E-06,4.448712,1.97E-08,4.464402,1.64E-08,4.40631,1.73E-08,1.155101,0.9562074,1.58423,0.5233352,0.2897935,0.9999914,0.2873656,0.9940709,-0.6881497,0.9970706
1343,PEAK1,6.935454,2.52E-17,6.057367,1.98E-16,7.264454,3.79E-19,7.263716,3.82E-19,1.874495,5.35E-05,-0.7982257,0.9075649,0.09241429,0.9983285,-0.191292,0.9999914,-0.04362431,0.9940709,-1.874907,0.008582048
1344,PEG10,-3.392075,0.005811018,-2.836374,0.01283794,-3.133958,0.005334631,-2.906875,0.008993162,0.1342292,0.9052806,0.1412225,0.9991471,-0.6472784,0.9983285,-0.4165699,0.9999914,1.157344,0.9472507,-0.3923822,0.9970706
1345,PEPD,-0.65436,0.4306595,-0.5450455,0.4810549,-0.4123374,0.5872609,-1.108405,0.1314824,-2.213667,0.003114156,-0.6750859,0.9991471,-1.002091,0.9983285,-0.01594732,0.9999914,-1.27141,0.7437267,0.6979859,0.9970706
1346,PER1,2.314492,1.55E-05,1.441931,0.00204738,9.866923,2.71E-23,9.942493,2.55E-23,0.3390847,0.4499769,-0.1162625,0.9991471,-0.04847713,0.9983285,-0.02054967,0.9999914,0.1179062,0.9940709,0.1231727,0.9970706
1347,PES1,-2.455877,7.15E-05,-3.485244,4.65E-08,-3.338164,8.05E-08,-3.774746,5.19E-09,-5.489714,3.21E-13,0.2419545,0.9991471,-0.1846308,0.9983285,0.5730653,0.9999914,0.1465233,0.9940709,1.445004,0.3427779
1348,PEX14,-4.76319,3.92E-09,-0.922092,0.1264666,-3.749273,8.76E-08,-4.16585,8.45E-09,-5.797258,1.89E-12,1.014162,0.97235,0.1554784,0.9983285,0.213134,0.9999914,-0.3473446,0.9940709,0.810597,0.9970706
1349,PEX19,-1.15961,0.06468213,-3.032293,3.55E-06,-1.774897,0.002581723,-1.736891,0.003007939,-2.49874,4.21E-05,-0.9643197,0.9991471,0.2713511,0.9983285,0.1684648,0.9999914,-0.1934625,0.9940709,-0.6510533,0.9970706
1350,PEX5,-2.621889,0.000396212,0.4186909,0.5339107,-0.2668972,0.6891806,-1.109962,0.08155057,-0.6189655,0.3373367,0.4881035,0.9991471,-0.2464966,0.9983285,-1.01739,0.9999914,-2.2207,0.1249285,-0.5563459,0.9970706
1351,PFAS,-0.7717723,0.2875019,-2.190073,0.001640854,-1.710987,0.01013167,-2.180285,0.001338174,-2.020542,0.002473413,0.05059288,0.9991471,0.8114651,0.9983285,0.6295544,0.9999914,0.3814889,0.9940709,0.224499,0.9970706
1352,PFKM,-3.005359,8.02E-06,-3.84692,1.86E-08,-1.849561,0.001265484,-3.255232,3.55E-07,-0.8140393,0.1385534,0.48105,0.9991471,0.9694075,0.918786,0.2075708,0.9999914,0.1823787,0.9940709,-0.01588282,0.9970706
1353,PFKP,-2.481806,0.001026559,-2.692453,0.000178715,-2.707083,0.000133012,-2.640658,0.000172238,-4.635273,8.18E-09,0.5903234,0.9991471,0.8984058,0.9983285,-0.4153005,0.9999914,0.5235355,0.9817271,1.547698,0.6146802
1354,PGD,-3.4849,5.11E-06,-4.037185,8.11E-08,-3.626891,4.88E-07,-3.7949,1.83E-07,-4.072524,3.42E-08,-0.132813,0.9991471,-0.002429727,0.9987594,-0.4000553,0.9999914,-0.1595786,0.9940709,0.4155693,0.9970706
1355,PGK1,-1.100677,0.1215161,-1.421535,0.03245952,-1.205896,0.06115128,-1.445619,0.02557298,-2.273947,0.000645572,-0.2227319,0.9991471,0.6150916,0.9983285,-0.1217881,0.9999914,-0.1291765,0.9940709,0.369049,0.9970706
1356,PHACTR2,-2.232277,0.01796914,2.177062,0.01380608,-1.884195,0.02772713,-1.78746,0.03620422,-3.832185,2.92E-05,-0.7492446,0.9991471,0.1826099,0.9983285,0.2957192,0.9999914,1.328141,0.8131683,0.0208464,0.9970706
1357,PHACTR4,-5.051363,2.29E-07,-0.8671753,0.2655489,-3.479712,2.75E-05,-5.131879,2.16E-08,-5.853235,8.84E-10,0.7959523,0.9991471,-0.4924417,0.9983285,0.1615716,0.9999914,-0.2196665,0.9940709,-0.3870964,0.9970706
1358,PHAX,1.610761,0.001059786,0.7187387,0.1037412,-1.579651,0.000500624,-1.658935,0.000265251,-6.723883,2.70E-18,0.02207729,0.9991471,-0.3027891,0.9983285,0.1432227,0.9999914,-0.347824,0.9807714,0.5992776,0.9970706
1359,PHF10,-0.8519855,0.269917,-2.446784,0.001017869,-2.306903,0.001504243,-1.82647,0.009825295,-2.978205,6.16E-05,-0.4711148,0.9991471,0.2701365,0.9983285,-0.007264116,0.9999914,0.06618381,0.9940709,-0.09582667,0.9970706
1360,PHF2,0.1489257,0.8621407,-1.424506,0.05782856,-0.2032998,0.7939517,-0.2061448,0.7864508,-1.490954,0.04117944,-0.6973971,0.9991471,0.05660991,0.9983285,-0.6507384,0.9999914,-0.7329772,0.9482655,-0.6592877,0.9970706
1361,PHF21A,-1.466452,0.02143582,-2.815729,1.40E-05,-2.154326,0.000412123,-1.996968,0.000881788,-2.644047,2.17E-05,0.1026589,0.9991471,0.151058,0.9983285,-0.7521343,0.9999914,-0.8305341,0.8481619,-0.1479917,0.9970706
1362,PHF23,-2.877384,0.003232193,-1.602585,0.07126756,-3.560572,0.000128985,-3.521148,0.00014097,-4.312116,6.12E-06,-0.3506641,0.9991471,-0.3695756,0.9983285,-0.1272382,0.9999914,-0.6364949,0.9940709,-0.08357966,0.9970706
1363,PHF3,-2.465739,0.000274873,1.139247,0.05688702,-2.761815,1.72E-05,-2.829827,1.07E-05,-3.977241,1.46E-08,-0.5762675,0.9991471,-0.3215259,0.9983285,-0.4492128,0.9999914,1.062036,0.7385492,-1.076041,0.8043444
1364,PHF6,0.808687,0.3086587,-0.02078353,0.9782455,0.7987448,0.2650942,0.3140979,0.6730434,-0.4383463,0.5512822,0.1969023,0.9991471,-0.5446048,0.9983285,1.30581,0.9999914,-0.161356,0.9940709,-0.2197653,0.9970706
