X,GeneID,MajorityProteinIDs,logFC_RIK.CTRL,adjpval_RIK.CTRL
346,H2BC21,Q16778,-2.47,0.335947491
347,H3C15,Q71DI3,-0.409,0.634842945
348,HLA-C,P10321,1.22,0.024654889
349,HLTF,Q14527,1.25,0.649913667
350,HMGA1,P17096,-1.6,0.548265427
351,HMGN2,P05204,-1.92,0.43026166
352,HNRNPA0,Q13151,-0.452,0.248026438
353,HNRNPA1,P09651,-0.819,0.065721892
354,HNRNPA2B1,P22626,-0.685,0.109024464
355,HNRNPA3,P51991,-0.771,0.057512995
356,HNRNPAB,Q99729,-0.857,0.100250678
357,HNRNPC,P07910,-0.817,0.000910969
358,HNRNPD,Q14103,-0.65,0.148260446
359,HNRNPDL,O14979,-1.12,0.037777433
360,HNRNPF,P52597,0.549,0.329257571
361,HNRNPH1,P31943,-0.443,0.331501118
362,HNRNPH2,P55795,-0.832,0.225619906
363,HNRNPH3,P31942,-0.695,0.393758304
364,HNRNPK,P61978,-0.567,0.02921708
365,HNRNPL,P14866,-0.678,0.014396714
366,HNRNPM,P52272,0.267,0.148003679
367,HNRNPR,O43390,-0.557,0.026166349
368,HNRNPU,Q00839,-0.406,0.05341904
369,HNRNPUL1,Q9BUJ2,-0.66,0.23566547
370,HNRNPUL2,Q1KMD3,-1.34,0.117374643
371,HPRT1,P00492,-0.22,0.697976921
372,HRNR,Q86YZ3,-1.5,0.348862769
373,HSD17B12,Q53GQ0,0.64,0.317948831
374,HSP90AA1,P07900,-0.659,0.560849051
375,HSP90AB1,P08238,0.37,0.640351639
376,HSP90AB2P,Q58FF8,-0.751,0.317869843
377,HSP90B1,P14625,-0.536,0.038187752
378,HSPA1B,P0DMV9,-0.0684,0.674955955
379,HSPA1L,P34931,1.39,0.491980362
380,HSPA4,P34932,-0.511,0.056127169
381,HSPA4L,O95757,-1.16,0.004431815
382,HSPA5,P11021,-0.391,0.23566547
383,HSPA6,P17066,-0.186,0.464997874
384,HSPA8,P11142,-0.322,0.186442978
385,HSPA9,P38646,-0.68,0.013402227
386,HSPB1,P04792,1.26,0.000334291
387,HSPD1,P10809,2.37,0.001312969
388,HSPH1,Q92598,-0.445,0.124280132
389,HUWE1,Q7Z6Z7,2.45,0.003419998
390,IARS1,P41252,0.063,0.902587238
391,ICE1,Q9Y2F5,-1.77,0.000184039
392,IDH2,P48735,-0.244,0.451303487
393,IDH3B,O43837,1.64,0.293359385
394,IFT74,Q96LB3,12,0.000108922
395,IGF2BP1,Q9NZI8,-0.671,0.006552907
396,IGF2BP3,O00425,-1.66,0.001714449
397,IGHG1,P01857,-1.11,0.002158788
398,IGHG2,P01859,-2.58,0.005409786
399,IGHG4,P01861,-0.727,0.035869095
400,IGKC,P01834,-0.637,0.047736621
401,IGKV A18,A2NJV5,0.0886,0.91985055
402,IGKV3OR2-268,A0A0C4DH90,-1.53,0.000216607
403,IGLL5,B9A064,-0.799,0.002412653
404,IGLV3-9,A0A075B6K5,-1.63,0.001474815
405,ELP1,O95163,4.47,0.019346658
406,ILF2,Q12905,-0.613,0.013834478
407,ILF3,Q12906,-0.57,0.003051683
408,ILVBL,A1L0T0,3.7,0.072200978
409,IMPDH2,P12268,2.06,0.272943694
410,IPO4,Q8TEX9,0.594,0.291171917
411,IPO5,O00410,2.89,0.173465411
412,IPO7,O95373,1.72,0.009199971
413,IPO9,Q96P70,1.68,0.000358978
414,ITIH2,P19823,4.33,0.017466557
415,KARS1,Q15046,-0.433,0.266210068
416,KEAP1,Q14145,5.79,0.006858725
417,KHDRBS1,Q07666,-0.629,0.006957489
418,KHSRP,Q92945,-1.61,0.016187256
419,KIDINS220,Q9ULH0,10.9,0.000151392
420,KLHDC10,Q6PID8,-1.26,0.000340939
421,KLHL13,Q9P2N7,-0.927,0.005853471
422,KLHL22,Q53GT1,-0.623,0.019346658
423,KLHL26,Q53HC5,-1.64,0.001708481
424,KLHL9,Q9P2J3,-1.69,0.000111429
425,KPNA2,P52292,-0.64,0.016735823
426,KPNB1,Q14974,1.15,0.013221523
427,LAGE3,Q14657,0.528,0.811160868
428,LARP1,Q6PKG0,-1.03,0.003808522
429,LARS1,Q9P2J5,1.75,0.490123292
430,LAS1L,Q9Y4W2,4.05,0.057151782
431,LBR,Q14739,0.196,0.686972057
432,LDHB,P07195,-1.34,0.299216606
433,LMNA,P02545,5.3,0.010097664
434,LMNB2,Q03252,5.14,0.029162374
435,LRGUK,Q96M69,-0.0124,0.993496013
436,LRPPRC,P42704,0.671,0.297798347
437,LRRC59,Q96AG4,-1.19,0.078949415
438,LSM12,Q3MHD2,-1.94,0.403869528
439,LTV1,Q96GA3,5.89,0.001598559
440,LUC7L2,Q9Y383,-1.43,2.04e-05
441,LUC7L3,O95232,-2.44,0.114938692
442,LYAR,Q9NX58,-1.04,0.715580511
443,MAD2L1,Q13257,2.39,0.118856283
444,MAGED1,Q9Y5V3,3.87,0.027233525
445,MAGED2,Q9UNF1,5.74,0.002479453
446,MAGT1,Q9H0U3,4.13,0.043709643
447,MAP2K2,P36507,0.704,0.020430316
448,MAPRE2,Q15555,2.81,0.031632534
449,MARK2,Q7KZI7,1.77,0.349860572
450,MARS1,P56192,0.254,0.169751883
451,MAT2A,P31153,-0.47,0.84946409
452,MATR3,P43243,-0.226,0.20983449
453,MAZ,P56270,-0.902,0.352390644
454,MCM3,P25205,1.82,0.322727742
455,MCM4,P33991,3.53,0.13201937
456,MCM5,P33992,-0.113,0.951370474
457,MCM7,P33993,1.86,2.36e-05
458,MDN1,Q9NU22,6.94,0.003521565
459,METTL13,Q8N6R0,5.5,0.001322285
460,MKRN2,Q9H000,3.97,0.099008216
461,MLF2,Q15773,6.39,0.002824344
462,MMS19,Q96T76,4.11,0.028847377
463,MPDU1,O75352,-0.25,0.355250053
464,MRPL11,Q9Y3B7,-1.84,0.005153295
465,MRPL12,P52815,0.443,0.867641457
466,MRPL4,Q9BYD3,1.01,0.520910945
467,MRPL43,Q8N983,0.861,0.547892995
468,MRPL54,Q6P161,-0.813,0.774495144
469,MRPS10,P82664,0.184,0.923571347
470,MRPS16,Q9Y3D3,-0.889,0.066658107
471,MRPS17,Q9Y2R5,-0.171,0.926474839
472,MRPS18B,Q9Y676,-0.787,0.364214569
473,MRPS2,Q9Y399,-1.16,0.102448318
474,MRPS22,P82650,-1.37,0.000325582
475,MRPS23,Q9Y3D9,-1.36,0.01010828
476,MRPS25,P82663,-0.562,0.793906773
477,MRPS27,Q92552,0.298,0.872850602
478,MRPS28,Q9Y2Q9,-3.02,0.061130909
479,MRPS31,Q92665,-0.586,0.098251859
480,MRPS34,P82930,-0.697,0.022376843
481,MRPS35,P82673,-1.66,0.001208311
482,MRPS7,Q9Y2R9,-6.52,0.019373252
483,MRTO4,Q9UKD2,0.904,0.786736937
484,MSH2,P43246,1.68,0.347231238
485,MT-CO2,P00403,0.645,0.15096302
486,MTA2,O94776,3.29,0.114314142
487,MTCH1,Q9NZJ7,6.43,0.000645023
488,MTHFD1,P11586,1.38,0.686972057
489,MTHFD2,P13995,-0.344,0.246148785
490,MTX2,O75431,5.46,0.015307261
491,MYBBP1A,Q9BQG0,-0.792,0.043436102
492,MYL12A,P19105,5.09,0.026543409
493,MYL6,P60660,0.0783,0.917102217
494,NAMPT,P43490,0.65,0.039691668
495,NAP1L1,P55209,1.11,0.201274678
496,NAT10,Q9H0A0,-0.457,0.518426135
497,NCAPD3,P42695,5.67,0.004226012
498,NCAPG2,Q86XI2,6.03,0.002748484
499,NCAPH,Q15003,-0.406,0.875872801
500,NCAPH2,Q6IBW4,7.05,0.000516518
501,NCBP1,Q09161,-1.18,0.007578737
502,NCL,P19338,-0.278,0.08521124
503,NCLN,Q969V3,4.63,0.023278162
504,NDUFA10,O95299,6.16,0.001373777
505,NDUFA13,Q9P0J0,0.751,0.023178827
506,NDUFA4,O00483,0.62,0.07829977
507,NDUFA5,Q16718,1.7,0.002239734
508,NDUFA8,P51970,-0.203,0.676651968
509,NDUFA9,Q16795,4.31,0.007687104
510,NDUFAF3,Q9BU61,2.83,0.210450588
511,NDUFAF4,Q9P032,3.86,0.033884126
512,NDUFB10,O96000,3.69,0.122273698
513,NDUFS1,P28331,3.38,0.044022426
514,NDUFS2,O75306,6.25,0.002511013
515,NDUFS3,O75489,0.745,0.167844523
516,NDUFS7,O75251,6.39,0.001412313
517,NDUFV1,P49821,5.59,0.017623797
518,NEFL,P07196,6.59,0.001915855
519,NEFM,P07197,3.59,0.000983699
520,SNU13,P55769,-1.3,0.060672645
521,NKRF,O15226,-1.8,0.097695313
522,NMT1,P30419,4.33,0.019346658
523,NOC2L,Q9Y3T9,2.09,0.290484086
524,NOC3L,Q8WTT2,1.62,0.398470046
525,NOL9,Q5SY16,4.47,0.035378184
526,NOLC1,Q14978,0.422,0.88930374
527,NONO,Q15233,-1.06,0.23566547
528,NOP2,P46087,-1.74,0.002610098
529,NOP56,O00567,-0.75,0.379186131
530,NOP58,Q9Y2X3,-0.466,0.441765216
531,NPEPPS,P55786,0.135,0.641670577
532,NPM1,P06748,-0.435,0.174383257
533,NPM3,O75607,0.0468,0.97703737
534,NTMT1,Q9BV86,-1.38,0.021454583
535,NTPCR,Q9BSD7,0.673,0.28745178
536,NUBP2,Q9Y5Y2,4.99,0.004129078
537,NUDT1,P36639,-1.37,0.002748484
538,NUDT21,O43809,-1.85,0.000329276
539,NUFIP2,Q7Z417,-2.09,0.426644908
540,NUP107,P57740,5.14,0.009749342
541,NUP133,Q8WUM0,6.03,0.008234483
