X,GeneID,MajorityProteinIDs,pval_DVL3.CTRL,pval_PRICKLE1.CTRL,pval_ROR1.CTRL,pval_ROR2.CTRL,pval_VANGL2.CTRL,adjpval_DVL3.CTRL,adjpval_PRICKLE1.CTRL,adjpval_ROR1.CTRL,adjpval_ROR2.CTRL,adjpval_VANGL2.CTRL,logFC_DVL3.CTRL,logFC_PRICKLE1.CTRL,logFC_ROR1.CTRL,logFC_ROR2.CTRL,logFC_VANGL2.CTRL
467,GPD2,P43304,0.158614439,0.175650963,0.821780735,0.583610997,0.106159855,0.886,0.91,0.953,0.894,0.806,-1.21,-1.16,0.19,-0.464,-1.39
468,GPI,P06744,0.090339869,0.001008475,0.123747858,0.343579003,0.069575556,0.869,0.836,0.905,0.876,0.783,-2.08,-4.29,-1.88,-1.15,-2.23
469,GSPT2,Q8IYD1,0.355513735,0.759204656,0.744127514,0.443252098,0.792625137,0.908,0.929,0.951,0.885,0.896,-0.738,-0.243,-0.259,-0.611,0.209
470,GSR,P00390,0.000704599,0.000156931,0.001219329,0.006558782,0.00016324,0.63,0.799,0.619,0.689,0.305,-3.42,-3.89,-3.24,-2.66,-3.88
471,GTPBP4,Q9BZE4,0.14915742,0.151356977,0.798491122,0.074241974,0.464037407,0.885,0.908,0.953,0.817,0.875,-0.983,-0.977,-0.171,-1.23,0.493
472,GYS1,P13807,0.256464532,0.774492771,0.520831315,0.980036693,0.613285055,0.9,0.929,0.944,0.912,0.886,1.21,-0.302,-0.679,0.0264,-0.534
473,H2AX,P16104,0.317755456,0.147914094,0.300639374,0.707185233,0.147885012,0.906,0.908,0.93,0.901,0.823,-0.774,-1.13,-0.803,-0.289,-1.13
474,MACROH2A1,O75367,0.02071669,0.020419504,0.005240234,0.995863936,0.219485522,0.816,0.883,0.743,0.912,0.842,-2.6,-2.61,-3.2,0.0056,-1.34
475,HACD3,Q9P035,0.563899005,0.330848019,0.366968244,0.47514801,0.001164531,0.92,0.918,0.935,0.887,0.475,0.352,0.596,-0.552,-0.436,2.14
476,HDGF,P51858,0.005546946,0.004657461,0.001991698,0.009873769,0.020067089,0.755,0.861,0.664,0.714,0.705,-2.17,-2.22,-2.45,-2,-1.78
477,HECTD1,Q9ULT8,0.023821877,2.1e-05,0.088992574,0.155407874,0.012650345,0.822,0.75,0.893,0.847,0.672,1.37,2.85,1.01,0.84,1.52
478,HELZ,P42694,7.49e-07,0.080159127,0.696126929,0.197253854,0.954357627,0.143,0.9,0.95,0.856,0.904,3.72,1.11,0.243,0.812,-0.0356
479,HIGD1A,C9JAW5,0.346323445,0.162251779,0.069842033,0.127547185,0.103351629,0.908,0.909,0.885,0.839,0.805,-0.958,-1.43,-1.88,-1.57,-1.68
480,H4C1,P62805,0.006832989,0.007293389,0.088848385,0.021780219,0.053684776,0.765,0.868,0.893,0.758,0.768,-1.44,-1.43,-0.877,-1.2,-1
481,H2AC20,Q16777,0.039674613,0.001836959,0.103780162,0.245497378,0.164431896,0.841,0.846,0.899,0.864,0.828,-1.36,-2.15,-1.06,-0.752,-0.904
482,H3C15,Q71DI3,0.170838241,0.000316547,0.026407793,0.179836659,0.167705498,0.889,0.814,0.842,0.853,0.829,-1.11,-3.16,-1.83,-1.08,-1.11
483,HLCS,P50747,0.370250694,0.220863709,0.612476346,0.458233358,0.980631214,0.91,0.913,0.947,0.886,0.905,-0.401,0.551,0.226,0.332,0.0108
484,HMGA1,P17096,6.04e-06,0.000642554,0.007582066,0.00366729,0.104449247,0.267,0.828,0.769,0.652,0.805,-4.58,-3.22,-2.43,-2.67,-1.43
485,HMGA2,P52926,0.030396871,0.143605622,0.423414876,0.184606125,0.030063512,0.831,0.908,0.939,0.854,0.732,-1.91,-1.27,-0.685,-1.14,-1.91
486,HMGB1P1,B2RPK0,0.264921037,0.030502316,0.352517452,0.65210147,0.55526674,0.901,0.888,0.934,0.898,0.882,-1.26,-2.51,-1.05,-0.506,-0.662
487,HMGN1,P05114,0.055316147,0.003579824,0.652182005,0.271177063,0.643403166,0.853,0.857,0.949,0.868,0.888,-1.44,-2.27,-0.331,-0.814,-0.34
488,HMGN2,P05204,0.346854151,0.70222032,0.105717341,0.443785758,0.821444789,0.908,0.928,0.899,0.885,0.898,0.753,-0.304,1.31,0.611,0.179
489,JPT1,Q9UK76,0.552003007,0.960234575,0.087099938,0.595137148,0.579703735,0.92,0.932,0.893,0.895,0.884,-0.727,0.0608,-2.13,0.649,0.676
490,JPT2,Q9H910,4.34e-05,6.59e-07,0.904174692,8.28e-06,5.52e-05,0.418,0.639,0.955,0.202,0.223,3.26,4.23,0.0845,3.64,3.2
491,HNRNPA0,Q13151,0.802463921,0.545182669,0.37049458,0.679462294,0.639577155,0.929,0.924,0.936,0.899,0.888,-0.124,-0.3,-0.445,0.204,0.232
492,HNRNPA1,P09651,0.045575977,0.005219576,0.219700635,0.290298462,0.14060797,0.846,0.863,0.922,0.87,0.82,-1.34,-1.92,-0.805,-0.692,-0.971
493,HNRNPA3,P51991,0.104171713,0.078657764,0.539231791,0.570875871,0.088060183,0.874,0.9,0.944,0.894,0.796,-2.22,-2.41,-0.824,-0.76,-2.33
494,HNRNPAB,Q99729,0.035038452,0.029643918,0.099387272,0.273036937,0.363489697,0.837,0.888,0.897,0.868,0.864,-2.32,-2.4,-1.79,-1.18,-0.976
495,HNRNPC,P07910,0.068411798,0.053917763,0.264669044,0.479753283,0.27000074,0.86,0.895,0.927,0.888,0.851,-2.65,-2.82,-1.6,-1.01,-1.58
496,HNRNPD,Q14103,0.667309621,0.046158148,0.117488087,0.901768773,0.357251766,0.924,0.893,0.903,0.909,0.863,-0.5,-2.38,-1.85,0.143,-1.08
497,HNRNPF,P52597,0.293171551,0.119505394,0.503775069,0.641694126,0.431925662,0.903,0.905,0.943,0.897,0.872,-0.551,-0.824,-0.349,-0.242,-0.41
498,HNRNPH1,P31943,0.118475589,0.000206758,0.010470665,0.100241244,0.055681325,0.878,0.805,0.79,0.83,0.77,-0.697,-1.81,-1.18,-0.735,-0.862
499,HNRNPH3,P31942,0.254724743,0.024601271,0.005439456,0.46508821,0.096826166,0.9,0.885,0.746,0.887,0.801,-1.2,-2.44,-3.08,-0.768,-1.77
500,HNRNPL,P14866,0.202586449,0.395925282,0.16875828,0.081662388,0.13412074,0.893,0.92,0.914,0.821,0.818,-1.31,-0.865,-1.41,-1.8,-1.54
501,HNRNPR,O43390,0.965799848,0.332705535,0.574375159,0.290593195,0.342063931,0.934,0.918,0.946,0.87,0.862,-0.0584,-1.33,-0.767,-1.45,-1.3
502,HPRT1,P00492,0.94379138,0.00022333,0.108963335,0.208298044,0.463569272,0.933,0.807,0.9,0.858,0.874,-0.0606,-3.52,-1.4,-1.09,-0.633
503,HRNR,Q86YZ3,0.359544588,0.749861334,0.343689664,0.592491867,0.555603479,0.909,0.929,0.934,0.895,0.882,0.913,-0.316,0.944,0.531,-0.585
504,HSD17B10,Q99714,0.112829879,0.000130827,0.000437812,0.968938173,0.663583743,0.876,0.795,0.516,0.911,0.889,-1.64,-4.34,-3.92,-0.0396,-0.443
505,HSP90AB2P,Q58FF8,0.848659056,0.020395441,0.263606526,0.569895778,0.015559399,0.93,0.883,0.927,0.893,0.687,0.178,-2.25,-1.05,0.532,2.36
506,HSP90B1,P14625,0.053059063,0.043873369,0.077045152,0.903721318,0.415467931,0.852,0.893,0.888,0.909,0.87,-2.72,-2.84,-2.47,0.165,-1.12
507,HSPA4,P34932,0.780447518,0.226576041,0.081273507,0.702134678,0.569375959,0.928,0.913,0.89,0.9,0.883,0.279,-1.22,-1.78,-0.382,0.57
508,HSPA6,P17066,0.005936923,0.002358193,0.435296294,0.034038561,8.14e-05,0.758,0.851,0.939,0.781,0.251,2.85,3.2,0.768,2.15,4.35
509,HSPB1,P04792,0.766779269,0.589443727,0.470866168,0.136789797,0.431637856,0.928,0.925,0.941,0.842,0.871,0.379,-0.69,0.924,1.93,1.01
510,HSPD1,P10809,0.14243184,0.326030219,0.183012308,0.642486502,0.71131373,0.883,0.918,0.917,0.897,0.892,-2.84,-1.89,-2.57,-0.887,-0.706
511,HSPE1,P61604,0.10360974,0.008082693,0.011917208,0.53527046,0.718794984,0.874,0.87,0.798,0.891,0.892,-1.81,-3.04,-2.87,-0.677,-0.392
512,HSPH1,Q92598,0.252545465,0.402448991,0.912572739,0.765732624,0.004350114,0.899,0.92,0.956,0.903,0.589,0.836,0.609,0.0795,0.216,2.19
513,IARS1,P41252,0.102055368,0.533489506,0.285666249,0.508841073,0.935665434,0.873,0.924,0.929,0.89,0.903,1.2,0.449,-0.774,-0.477,0.0581
514,IBTK,Q9P2D0,0.002404126,6.47e-09,0.183590176,0.033674933,0.36522976,0.709,0.433,0.917,0.78,0.864,2.03,4.74,0.843,1.37,0.57
515,IGF2BP1,Q9NZI8,0.187045697,0.138286573,0.061002989,0.518523292,0.818353854,0.891,0.907,0.879,0.89,0.898,1.52,-1.71,-2.19,-0.737,0.261
516,IGF2BP3,O00425,0.099729688,0.024229533,0.004958277,0.763045124,0.388153918,0.872,0.885,0.739,0.903,0.867,0.904,-1.26,-1.6,0.162,-0.467
517,ILF3,Q12906,0.344353718,0.044729133,0.97463046,0.376061961,0.592620875,0.908,0.893,0.957,0.879,0.885,-1.32,-2.86,-0.044,-1.23,-0.742
518,IMPDH2,P12268,0.014854669,0.00490522,0.05004833,0.071241603,0.022706915,0.802,0.862,0.871,0.815,0.714,-2.29,-2.69,-1.82,-1.66,-2.13
519,IQCB1,Q15051,0.941271244,2.23e-06,0.603660571,0.718919738,0.668798107,0.933,0.682,0.947,0.901,0.889,0.0453,3.46,0.32,0.222,0.263
520,IRAK1,P51617,2.99e-05,8.66e-06,0.482370499,0.002233388,0.912871061,0.388,0.725,0.942,0.618,0.902,3.75,4.07,0.554,2.58,-0.086
521,ITSN1,Q15811,0.523211999,0.046351292,0.020830589,0.001138351,0.209016587,0.918,0.894,0.83,0.569,0.84,-0.367,1.18,1.38,2.02,-0.729
522,JAGN1,Q8N5M9,0.948614593,0.338819079,0.091959135,0.644441405,0.416985163,0.933,0.918,0.895,0.898,0.87,-0.034,0.508,0.907,-0.244,0.43
523,KANK2,Q63ZY3,0.078299581,0.001214137,0.436647077,0.001133923,0.705321064,0.865,0.839,0.939,0.568,0.892,1.06,2.07,0.461,2.08,0.223
524,KEAP1,Q14145,5.44e-06,9.45e-10,0.27274128,0.000954223,0.750279546,0.26,0.338,0.928,0.555,0.894,3.94,6.09,0.818,2.65,0.235
525,KHDRBS1,Q07666,0.256084333,0.006464949,0.027239141,0.080102899,0.049151901,0.9,0.866,0.844,0.82,0.763,-1.29,-3.24,-2.58,-2.02,-2.28
526,KHSRP,Q92945,0.68553003,0.672606934,0.530341907,0.314521632,0.032181284,0.925,0.927,0.944,0.873,0.737,-0.196,-0.204,-0.304,-0.49,-1.07
527,KIAA0753,Q2KHM9,0.068934599,1.46e-07,0.996912106,0.620479051,0.343322463,0.861,0.578,0.958,0.896,0.862,0.934,3.27,0.00194,-0.248,-0.478
528,CRACD,Q6ZU35,0.34142162,1.1e-09,0.767681925,0.099676344,0.48017786,0.907,0.346,0.952,0.829,0.876,0.474,4.05,0.146,0.831,-0.351
529,CIP2A,Q8TCG1,0.211759514,0.5919852,0.108900555,0.19769822,0.69926028,0.895,0.925,0.9,0.856,0.891,1.07,0.456,1.39,1.11,-0.328
530,SHTN1,A0MZ66,0.000662752,4.92e-09,0.008115729,8.19e-07,0.000355239,0.626,0.42,0.774,0.0929,0.37,2.08,4.3,1.56,3.34,2.2
531,KIF11,P52732,0.019637456,8.47e-07,0.474616387,0.025073248,0.446178549,0.814,0.648,0.941,0.765,0.873,1.24,3.03,-0.366,1.18,0.39
532,KIF14,Q15058,2.45e-05,2.6e-13,0.150208421,0.690121694,0.342725878,0.372,0.0535,0.911,0.9,0.862,2.14,5.03,0.646,0.176,0.422
533,KIF16B,Q96L93,0.10521616,0.129878975,0.622963656,0.996061911,5.18e-05,0.874,0.906,0.948,0.912,0.218,-0.828,0.772,-0.247,0.00247,2.3
534,KIF26B,Q2KJY2,0.559395499,2.32e-07,0.452134505,0.647476304,0.323368044,0.92,0.597,0.94,0.898,0.859,-0.32,3.49,-0.413,0.251,-0.545
535,KIF5B,P33176,3.43e-05,1.79e-09,0.750978717,0.006955965,0.000303154,0.399,0.37,0.952,0.693,0.357,3.09,5.26,0.208,1.87,2.61
536,KLC2,Q9H0B6,0.986500427,5.07e-12,0.819415013,0.985810209,0.896332927,0.934,0.121,0.953,0.912,0.901,0.00825,4.96,0.111,-0.00867,-0.0635
537,KPNB1,Q14974,0.846245611,0.183872799,0.289033879,0.066791184,0.641945015,0.93,0.911,0.929,0.812,0.888,-0.196,-1.36,-1.08,-1.9,0.471
538,LARP1B,Q659C4,0.020574357,0.079401729,0.032529371,0.380699587,0.06574308,0.816,0.9,0.852,0.88,0.78,2.83,2.1,2.59,1.03,2.21
539,LARP4,Q71RC2,1.18e-05,0.020235272,0.422490602,0.911017602,0.603767303,0.316,0.883,0.939,0.909,0.885,2.94,1.4,-0.466,0.0647,-0.301
540,LARP4B,Q92615,1.62e-07,0.00422729,0.091444954,0.062101462,0.627237771,0.0814,0.86,0.894,0.809,0.887,3.71,1.74,0.986,1.1,0.278
541,LARS1,Q9P2J5,0.385148145,0.225735431,0.196602692,0.303314942,0.495516021,0.911,0.913,0.919,0.872,0.877,0.714,-1,-1.07,-0.848,0.559
542,LBR,Q14739,0.003807963,0.099572078,0.799039338,0.135953494,8.43e-05,0.735,0.903,0.953,0.842,0.253,-2.85,-1.56,-0.236,1.4,4.09
543,LDHA,P00338,0.600026536,0.026306161,0.167734085,0.805259441,0.649417308,0.922,0.886,0.914,0.905,0.888,-0.829,-3.64,-2.21,0.389,0.718
544,LDHB,P07195,0.420619396,0.029187826,0.046956937,0.81466527,0.284576694,0.913,0.888,0.869,0.905,0.854,-1.15,-3.2,-2.9,-0.332,-1.53
545,LGALS3BP,Q08380,0.000981512,0.010218723,0.00107103,0.0093096,0.195331068,0.653,0.873,0.607,0.711,0.836,-1.99,-1.5,-1.98,-1.52,-0.731
546,LIMA1,Q9UHB6,1.19e-07,2.42e-09,0.429928811,1.73e-05,0.003539571,0.0722,0.385,0.939,0.249,0.572,3.73,4.48,0.449,2.8,1.76
547,LIMCH1,Q9UPQ0,0.138325434,1.49e-05,0.980407074,0.358728216,0.730164422,0.882,0.741,0.957,0.878,0.893,0.756,2.51,0.0123,0.463,0.173
548,LMAN1,P49257,0.66360857,0.918732087,0.670523175,0.436663219,0.000531632,0.924,0.932,0.949,0.884,0.406,-0.37,-0.0867,-0.362,0.663,3.22
549,LMNA,P02545,0.566158923,0.92136379,0.485247078,0.499742939,0.866467899,0.92,0.932,0.942,0.889,0.9,-0.619,0.106,0.753,0.728,-0.181
550,LMNB1,P20700,0.153352664,0.017322047,0.190271525,0.436449838,0.88900273,0.885,0.88,0.918,0.884,0.901,-1.87,-3.2,-1.71,-1.01,-0.18
551,LMNB2,Q03252,0.20248956,0.169510927,0.37868379,0.182387229,0.397444572,0.893,0.91,0.936,0.853,0.868,-1.62,-1.75,-1.11,-1.7,-1.07
552,LMO7,Q8WWI1,0.274116566,0.000201429,0.597052943,0.222500496,0.488189218,0.902,0.805,0.947,0.861,0.877,0.557,2.08,0.267,0.622,0.351
553,ADGRL2,O95490,0.41702586,0.110736731,0.046279276,9.02e-06,0.603779616,0.913,0.904,0.868,0.208,0.885,-0.498,0.992,1.25,3.15,0.317
554,CARMIL1,Q5VZK9,0.035837865,0.003526423,0.17882272,1.15e-05,0.263399909,0.837,0.857,0.916,0.222,0.85,1.59,2.28,0.998,3.73,0.827
555,LRSAM1,Q6UWE0,0.186392745,0.01659605,0.537127764,0.028652194,0.259092399,0.891,0.88,0.944,0.772,0.849,1.16,2.17,0.537,1.97,0.989
556,LSM14A,Q8ND56,5.25e-05,0.000322227,0.349452227,0.276352611,0.381926792,0.433,0.814,0.934,0.869,0.866,2.7,2.34,-0.555,0.648,0.518
557,LUC7L2,Q9Y383,0.02324472,0.087344584,0.397645149,0.140737405,0.04073058,0.821,0.902,0.937,0.843,0.751,-1.82,-1.35,-0.658,-1.16,-1.63
558,LUC7L3,O95232,0.037571369,0.010455617,0.001884257,0.00914369,0.023789662,0.839,0.873,0.659,0.71,0.717,-1.31,-1.64,-2.04,-1.67,-1.43
559,LZTS2,Q9BRK4,0.823122388,1.16e-08,0.074062241,0.126424356,3.71e-06,0.93,0.462,0.887,0.839,0.0829,-0.13,4.29,1.06,0.905,3.18
560,MAPRE2,Q15555,0.001393633,2.04e-06,0.367301874,8.23e-06,1.81e-05,0.675,0.679,0.935,0.202,0.153,1.8,2.95,0.474,2.71,2.58
561,MARCKS,P29966,0.26860558,0.259282069,0.807303939,0.030752474,0.19603052,0.901,0.915,0.953,0.776,0.836,-0.512,-0.522,-0.112,1.03,0.601
562,MARCKSL1,P49006,0.260523853,0.057288217,0.270503677,0.023816327,0.812386103,0.9,0.896,0.928,0.763,0.897,-0.371,-0.638,0.363,0.767,-0.0776
563,MARS1,P56192,0.144824229,0.513588646,0.125360237,0.581237453,0.986921271,0.884,0.924,0.905,0.894,0.905,1.18,-0.522,-1.24,0.44,0.0131
564,MARVELD2,Q8N4S9,0.29102184,0.328339473,0.101865755,0.110357315,0.463302551,0.903,0.918,0.898,0.834,0.874,-0.549,0.508,0.861,0.84,-0.38
565,MAT2A,P31153,0.170826677,0.004280206,0.175148889,0.388224842,0.123481591,0.889,0.86,0.915,0.88,0.814,-1.26,-2.76,-1.25,-0.788,-1.42
566,MATR3,P43243,0.951313983,0.039623279,0.147744633,0.849833392,0.50154164,0.933,0.892,0.91,0.907,0.878,0.0697,-2.42,-1.68,-0.216,-0.77
567,MCCC2,Q9HCC0,0.094613467,4.05e-05,0.04534591,0.795252156,0.331072704,0.871,0.767,0.867,0.905,0.86,-1.61,-4.42,-1.95,-0.246,-0.926
568,MCM3,P25205,0.687127184,0.021339593,0.00234345,0.157821019,0.057934073,0.925,0.883,0.679,0.848,0.773,-0.357,-2.12,-2.88,-1.27,-1.72
569,MCM4,P33991,0.692744495,0.246506925,0.855856064,0.857187465,0.243466108,0.925,0.914,0.954,0.907,0.847,-0.312,-0.923,0.143,-0.142,0.929
570,MCM5,P33992,0.234039879,0.011468761,0.035083354,0.207751065,0.164791576,0.897,0.875,0.856,0.858,0.828,-0.872,-1.92,-1.58,-0.925,-1.02
571,MCM6,Q14566,0.435372032,0.042656636,0.150349686,0.600478822,0.152529403,0.914,0.892,0.911,0.895,0.824,0.68,-1.81,-1.27,-0.456,-1.26
572,MCM7,P33993,0.754756261,0.000215551,0.012458646,0.404339668,0.654620913,0.927,0.806,0.801,0.882,0.889,0.265,-3.47,-2.22,-0.71,-0.379
573,MDH1,P40925,0.525571461,0.003029045,0.071548224,0.426907034,0.538578706,0.918,0.855,0.885,0.884,0.881,-0.683,-3.4,-1.98,-0.857,-0.662
574,MDH2,P40926,0.202765812,0.003735449,0.095805493,0.144677058,0.046719159,0.893,0.858,0.896,0.844,0.76,-1.57,-3.76,-2.07,-1.81,-2.5
575,MDN1,Q9NU22,2.47e-05,4.52e-09,0.412573157,0.05771856,0.489910164,0.373,0.416,0.938,0.806,0.877,4.53,7.23,0.773,1.83,0.65
576,METAP2,P50579,0.184360158,0.911386432,0.35048951,0.134043736,0.854420331,0.891,0.931,0.934,0.841,0.899,1.14,0.094,-0.794,1.29,-0.155
577,MGA,Q8IWI9,3.9e-05,9.37e-07,0.628874312,0.962378307,0.42809853,0.409,0.652,0.948,0.911,0.871,2.14,2.71,0.222,0.0216,-0.365
578,MIF,P14174,0.59078776,0.012849325,0.730494043,0.979230279,0.021428243,0.921,0.876,0.951,0.912,0.71,-0.594,-2.87,-0.38,-0.0287,-2.64
579,MINK1,Q8N4C8,0.026761659,9.09e-11,0.000680012,4.18e-06,0.026737862,0.826,0.229,0.561,0.164,0.725,2.09,8.29,3.38,4.94,2.09
580,C1orf35,Q9BU76,0.462397728,0.935242399,0.042465479,0.588820293,0.74602442,0.915,0.932,0.864,0.895,0.894,-0.418,0.046,1.18,-0.307,0.184
581,MPP7,Q5T2T1,0.350800939,0.541359155,0.235423111,0.000203285,0.864861643,0.908,0.924,0.924,0.434,0.9,-0.834,0.544,1.06,3.66,0.151
582,MRE11,P49959,7.99e-08,1.06e-10,0.664945466,0.002092533,0.010536373,0.0612,0.235,0.949,0.613,0.659,5.05,6.79,-0.326,2.48,2.02
583,MRI1,Q9BV20,0.059321425,0.957557375,0.588289443,0.039626499,0.712686375,0.855,0.932,0.946,0.788,0.892,1.23,0.0339,0.345,1.35,0.235
584,MRPL20,Q9BYC9,0.406412296,0.234269684,0.631158328,0.709453301,0.997084936,0.912,0.914,0.948,0.901,0.905,-0.404,-0.582,-0.233,-0.181,0.00177
585,MSRB3,Q8IXL7,0.438727424,0.066584636,0.883618414,0.742634239,0.114617691,0.914,0.898,0.955,0.902,0.81,-0.553,-1.34,0.104,-0.234,-1.14
586,MT-ATP6,P00846,0.648114433,0.019863603,0.002836404,0.183779125,0.041262222,0.924,0.882,0.695,0.854,0.752,0.254,1.35,1.77,0.749,1.17
587,MT-CO2,P00403,0.857765707,0.254021073,0.081033935,0.453264416,0.640716468,0.931,0.915,0.89,0.886,0.888,-0.198,-1.27,-1.97,-0.83,-0.515
588,MTHFD1,P11586,0.546992659,0.000555246,0.10203325,0.003201851,0.645828674,0.919,0.825,0.898,0.643,0.888,-0.468,-2.93,-1.29,-2.44,-0.357
589,MTHFD1L,Q6UB35,0.164056292,0.662001719,0.90906381,0.819557068,0.871555961,0.887,0.927,0.956,0.906,0.9,-0.609,-0.189,-0.0493,-0.0985,-0.0698
590,MTPN,P58546,0.22532791,0.000812396,0.0001501,0.573000427,0.023998208,0.896,0.832,0.402,0.894,0.717,-0.851,-2.53,-2.94,-0.392,-1.63
591,MXRA7,P84157,0.85690023,0.396081761,0.851348399,0.219283211,0.000159848,0.931,0.92,0.954,0.86,0.303,-0.127,0.6,0.132,0.873,2.96
592,MYH14,Q7Z406,0.031874576,0.002079877,0.550229892,0.472716559,0.258443284,0.833,0.848,0.945,0.887,0.849,2.49,3.7,0.67,0.807,1.28
593,MYL6,P60660,0.489204784,0.023769473,0.956375476,0.770796706,0.383393642,0.917,0.885,0.957,0.904,0.866,-0.805,-2.72,-0.0634,-0.338,1.02
594,MYO1D,O94832,0.566686994,0.677893618,0.625855015,0.557153176,0.833597966,0.92,0.927,0.948,0.893,0.898,1.12,0.812,0.954,-1.15,0.41
595,NAA10,P41227,0.555395832,0.267509356,0.015336003,0.000584906,0.266851692,0.92,0.915,0.813,0.518,0.851,-0.329,-0.623,-1.41,-2.09,-0.624
596,NACA,E9PAV3,0.459152822,0.595685484,0.1297372,0.559350688,0.784109829,0.915,0.925,0.906,0.893,0.896,-0.956,-0.684,-1.98,-0.752,-0.352
597,NAMPT,P43490,0.049770066,0.250882373,0.069303661,0.147296264,0.593508232,0.849,0.915,0.884,0.845,0.885,-1.46,-0.838,-1.34,-1.06,-0.386
598,NAP1L4,Q99733,0.055248506,0.000711378,0.808408599,0.58943681,3.34e-05,0.853,0.83,0.953,0.895,0.189,0.974,1.83,-0.12,0.267,2.34
599,NAV1,Q8NEY1,0.068809246,5.78e-13,0.91379445,0.865725608,0.002811542,0.86,0.0669,0.956,0.907,0.552,0.943,5.59,-0.0548,-0.0855,1.62
600,NBN,O60934,0.506831487,0.925723825,0.872063928,0.723336565,0.768264607,0.918,0.932,0.955,0.901,0.895,0.507,-0.071,-0.123,0.27,-0.225
601,NCAPH,Q15003,0.000393469,5.69e-05,0.003509458,0.670638751,0.002793532,0.589,0.776,0.712,0.899,0.552,2.65,3.1,-2.12,-0.29,2.18
602,NCK1,P16333,0.40095193,0.000740512,0.987128009,0.569652365,0.634648302,0.912,0.83,0.957,0.893,0.887,0.67,2.92,0.0128,0.453,0.378
603,NDUFA4,O00483,0.646020092,0.001513873,0.530981134,0.427054684,0.395245152,0.924,0.843,0.944,0.884,0.868,0.293,-2.18,-0.401,-0.509,-0.545
604,NEBL,O76041,0.729723226,0.00668256,1.01e-06,0.040123786,0.858140034,0.927,0.867,0.053,0.789,0.899,0.194,1.61,3.3,1.19,0.1
605,NEDD1,Q8NHV4,0.006315896,1.21e-10,0.046115075,0.273417015,0.435103561,0.761,0.241,0.868,0.868,0.872,1.43,4.46,1.02,0.549,0.389
606,NEDD8-MDP1,E9PL57,0.440594879,0.540115549,0.749975899,0.302819678,0.866118158,0.914,0.924,0.952,0.872,0.9,0.862,0.684,-0.355,1.16,0.188
607,NKRF,O15226,0.027997956,0.686398224,0.142042472,0.103126888,0.186708608,0.828,0.927,0.909,0.831,0.834,1.26,0.224,-0.825,-0.919,-0.74
608,NME1,P15531,0.281353042,0.113047983,0.101562079,0.224578257,0.078817281,0.902,0.905,0.898,0.861,0.79,-1.94,-2.88,-2.98,-2.19,-3.21
609,NME2,P22392,0.166526909,0.061264847,0.642035865,0.256042956,0.350971588,0.888,0.897,0.948,0.866,0.863,-1.18,-1.61,-0.39,-0.96,-0.786
610,NMT1,P30419,0.934294686,0.844976135,0.389162972,0.810666363,0.273639893,0.933,0.93,0.937,0.905,0.852,-0.0585,-0.139,-0.615,-0.17,-0.784
611,NOLC1,Q14978,0.602535641,0.479930054,0.180488845,0.594342241,0.887177263,0.922,0.923,0.916,0.895,0.901,-0.456,-0.619,-1.19,-0.466,0.124
612,NOP2,P46087,0.932592816,0.024689388,0.024511575,0.613916406,0.187762763,0.933,0.885,0.838,0.896,0.834,-0.0579,-1.6,-1.6,-0.346,-0.913
613,NOP58,Q9Y2X3,0.649245607,0.01940655,0.061238349,0.039569528,0.487236387,0.924,0.882,0.879,0.788,0.877,-0.284,-1.52,-1.2,-1.33,-0.435
614,NPM3,O75607,0.223846739,0.332392506,0.000293647,0.293018683,0.189436295,0.896,0.918,0.473,0.871,0.835,-0.987,-0.783,-3.21,-0.851,-1.07
615,NR3C1,P04150,0.191769018,0.008226466,0.638980132,0.380033671,0.858067098,0.892,0.87,0.948,0.88,0.899,0.629,1.32,-0.224,0.42,-0.0851
616,NSA2,O95478,0.326291139,0.121548383,0.108163056,0.327378999,0.202190805,0.906,0.906,0.9,0.875,0.838,0.894,-1.43,-1.48,-0.892,1.17
617,NSFL1C,Q9UNZ2,0.073536708,7.39e-11,0.643263511,0.04211414,0.017586965,0.863,0.22,0.948,0.791,0.696,1.15,5.76,0.291,1.32,1.56
618,NUCKS1,Q9H1E3,0.547284703,0.087358513,0.883215443,0.533944119,0.967077621,0.919,0.902,0.955,0.891,0.904,0.504,1.46,0.123,0.521,0.0345
619,NUDT5,Q9UKK9,0.238274326,0.453765733,0.451129902,0.241128658,0.211269358,0.898,0.922,0.94,0.864,0.84,0.884,0.558,0.561,0.878,0.938
620,NUP155,O75694,0.236910383,0.826181952,0.983195624,0.003000007,0.000282817,0.898,0.93,0.957,0.638,0.351,-0.785,0.144,-0.0138,2.08,2.63
621,NUP214,P35658,0.000862582,1.15e-05,0.114323756,0.92276404,0.525428813,0.644,0.733,0.902,0.91,0.88,2.53,3.55,-1.12,0.0678,0.445
622,NUP62,P37198,0.064784641,0.001678177,0.341613968,0.431627717,0.296570054,0.858,0.845,0.934,0.884,0.855,1.29,2.31,-0.653,0.539,-0.718
623,OAS2,P29728,0.461730359,0.671066908,0.527157343,0.985025759,0.57350254,0.915,0.927,0.944,0.912,0.883,-0.652,-0.375,0.559,0.0165,-0.497
624,OBSL1,O75147,0.000142037,0.51317034,0.343978559,0.624705661,0.749195451,0.512,0.924,0.934,0.897,0.894,1.92,0.296,0.43,0.221,0.145
