X,GeneID,MajorityProteinIDs,U1,S1,B1,U2,S2,B2,U3,S3,B3,U4,S4,B4,U5,S5,B5,U6,S6,B6,U7,S7,B7,U8,S8,B8,U9,S9,B9,U10,S10,B10,U11,S11,B11,C1,C2,C3,C4,C5
4540,TUBB1,Q9H4B7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4541,DPEP3,Q9H4B8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13596,9660.9,0,0,0,0,0,0,0,0,0
4542,DEF6,Q9H4E7,0,0,0,23593,0,0,0,0,0,30134,0,0,0,0,0,15629,0,0,3310.5,0,0,32669,0,0,209180,0,0,1165.5,0,0,14783,0,0,0,0,0,0,0
4543,EPB41L1,Q9H4G0,381950,13366,0,169490,0,0,194430,0,0,89048,0,0,568260,36426,0,250610,0,0,92086,0,0,284150,0,0,206150,0,0,14065,0,0,117340,28912,0,198600,0,177580,0,0
4544,GLIPR2,Q9H4G4,403770,337390,0,25534,428190,0,664920,217110,0,1700700,482220,0,133720,102160,0,0,263150,0,1284500,126780,0,2164600,152960,0,5626900,308910,0,580520,531200,0,2302000,744260,0,24893,348810,0,74631,0
4545,SENP3,Q9H4L4,29873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4546,EHD1,Q9H4M9,1473200,563800,0,2111700,472910,0,3339000,716480,0,3847000,1159300,0,2589100,505620,0,1432600,880770,0,3223900,1242300,0,3647000,533850,0,11712000,604690,0,1047000,312570,0,2109500,688710,10460,1709800,214820,2702400,4429200,0
4547,ALG2,Q9H553,1036100,82996,0,260950,0,0,448340,9633.1,0,301910,41406,0,563800,0,0,533060,0,0,148520,0,0,0,11339,0,0,0,0,28411,0,0,5574.4,4865.6,0,31479,0,182070,0,0
4548,SLC32A1,Q9H598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4549,POMK,Q9H5K3,151200,0,0,0,0,0,19832,0,0,0,0,0,87577,0,0,68882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4550,RABEP2,Q9H5N1,0,0,0,0,0,0,0,0,0,0,0,0,28544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4551,CDCP1,Q9H5V8,0,4796.9,0,59210,0,0,58911,0,0,27521,0,0,780550,114200,0,50884,0,0,97348,0,0,210630,0,0,568180,0,0,5419.7,0,0,23952,0,0,0,0,0,0,0
4552,IGFLR1,Q9H665,0,0,0,20201,0,0,7884.8,0,0,7328.6,0,0,7810,0,0,18749,0,0,0,0,0,0,0,0,42121,0,0,0,0,0,0,0,0,0,0,0,0,0
4553,DENND2D,Q9H6A0,0,0,0,0,0,0,0,0,0,46651,0,0,0,0,0,0,0,0,20066,0,0,98830,0,0,413750,0,0,12320,0,0,131710,0,0,0,0,0,0,0
4554,CCDC134,Q9H6E4,23403,4472.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26138,0,0,0,0,0,0,12799,0,0
4555,TMEM231,Q9H6L2,142260,0,0,0,0,0,69911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439110,0
4556,NOL6,Q9H6R4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4557,EPS8L2,Q9H6S3,0,0,0,16124,51888,0,248920,12821,0,138570,847920,0,329870,74151,0,0,110740,0,759200,490630,0,686620,375110,0,1748500,170490,0,14744,0,0,39286,16082,0,0,0,0,4410500,0
4558,ALG9,Q9H6U8,29182,0,0,0,0,0,91175,0,0,103880,0,0,0,0,0,31013,0,0,73616,0,0,58135,0,0,43253,0,0,91002,0,0,88726,0,0,0,0,180160,0,0
4559,ANTXR1,Q9H6X2,99944,0,0,28743,0,0,137650,0,0,36950,0,0,15729,0,0,85554,0,0,20331,0,0,0,0,0,33055,0,0,3735,0,0,16476,0,0,19546,0,72343,0,0
4560,WDR55,Q9H6Y2,0,0,0,0,0,0,0,0,0,0,0,0,9279.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
